FIPS,  FIPS code        name,FIPScodename(no space),FIPS#
51083,1,1,1
20153,1,1,1
42021,1,1,1
29097,1,1,1
37165,1,1,1
37061,1,1,1
45065,1,1,1
24000,1,1,1
51115,1,1,1
56045,1,1,1
4003,1,1,1
27165,1,1,1
27147,1,1,1
41021,1,1,1
47059,1,1,1
45000,1,1,1
13219,1,1,1
38033,1,1,1
27135,1,1,1
47131,1,1,1
13057,1,1,1
13027,1,1,1
1095,1,1,1
40035,1,1,1
40095,1,1,1
18111,1,1,1
21169,1,1,1
46031,1,1,1
21017,1,1,1
48337,1,1,1
31075,1,1,1
19025,1,1,1
48301,1,1,1
13143,1,1,1
29023,1,1,1
48151,1,1,1
13125,1,1,1
1035,1,1,1
20023,1,1,1
37151,1,1,1
20037,1,1,1
37127,1,1,1
18053,1,1,1
29215,1,1,1
5083,1,1,1
54043,1,1,1
21025,1,1,1
20033,1,1,1
25019,1,1,1
26073,1,1,1
31159,1,1,1
39027,1,1,1
47075,1,1,1
1049,1,1,1
38049,1,1,1
51037,1,1,1
13243,1,1,1
48103,1,1,1
2282,1,1,1
48225,1,1,1
8105,1,1,1
29061,1,1,1
20145,1,1,1
42025,1,1,1
37137,1,1,1
35005,1,1,1
55123,1,1,1
54007,1,1,1
13077,1,1,1
27169,1,1,1
30113,1,1,1
37069,1,1,1
48423,1,1,1
48213,1,1,1
51113,1,1,1
17123,1,1,1
12019,1,1,1
48275,1,1,1
39081,1,1,1
13193,1,1,1
48335,1,1,1
27119,1,1,1
19179,1,1,1
21207,1,1,1
5077,1,1,1
1025,1,1,1
23007,1,1,1
29109,1,1,1
12083,1,1,1
5035,1,1,1
50027,1,1,1
18151,1,1,1
21083,1,1,1
18043,1,1,1
48061,1,1,1
22031,1,1,1
17035,1,1,1
20087,1,1,1
48071,1,1,1
31049,1,1,1
